,home_team,home_score,away_score,neutral,match_scores
35,Brazil,1396,466,228.0,930
12,Argentina,1200,476,212.0,724
104,Germany,1231,512,91.0,719
85,England,1123,438,52.0,685
253,South Korea,921,342,165.0,579
261,Sweden,1129,554,37.0,575
256,Spain,828,267,53.0,561
173,Mexico,1018,460,246.0,558
185,Netherlands,974,427,48.0,547
134,Italy,875,349,77.0,526
124,Hungary,1057,542,32.0,515
82,Egypt,761,321,128.0,440
96,France,956,521,52.0,435
128,Iran,584,187,93.0,397
57,China PR,715,322,110.0,393
64,Costa Rica,630,242,102.0,388
16,Australia,675,317,76.0,358
76,Denmark,853,499,34.0,354
224,Russia,602,252,61.0,350
238,Scotland,718,371,15.0,347
214,Portugal,639,300,38.0,339
276,Trinidad and Tobago,621,294,37.0,327
105,Ghana,553,228,106.0,325
129,Iraq,533,209,185.0,324
213,Poland,745,422,31.0,323
237,Saudi Arabia,650,327,106.0,323
190,Nigeria,510,192,88.0,318
135,Ivory Coast,535,221,80.0,314
305,Zambia,557,244,70.0,313
223,Romania,644,335,42.0,309
283,Uganda,556,260,80.0,296
180,Morocco,475,179,53.0,296
288,Uruguay,613,321,52.0,292
137,Japan,679,408,114.0,271
73,Czechoslovakia,549,279,29.0,270
17,Austria,814,548,27.0,266
26,Belgium,815,551,41.0,264
4,Algeria,508,247,103.0,261
277,Tunisia,508,247,36.0,261
287,United States,690,436,25.0,254
56,Chile,720,469,105.0,251
146,Kuwait,543,300,98.0,243
186,New Caledonia,383,159,59.0,224
127,Indonesia,653,431,143.0,222
44,Cameroon,423,213,112.0,210
271,Thailand,584,378,53.0,206
142,Kenya,609,406,125.0,203
304,Yugoslavia,439,236,7.0,203
94,Fiji,405,204,64.0,201
217,Qatar,505,305,64.0,200
239,Senegal,342,144,53.0,198
122,Honduras,435,244,96.0,191
260,Suriname,367,178,17.0,189
41,Burma,430,243,160.0,187
67,Croatia,311,124,24.0,187
72,Czech Republic,306,122,26.0,184
167,Martinique,333,151,43.0,182
116,Guinea,343,167,76.0,176
192,North Korea,266,99,84.0,167
39,Bulgaria,524,359,42.0,165
74,DR Congo,348,183,57.0,165
162,Malaysia,588,423,97.0,165
164,Mali,341,179,62.0,162
120,Haiti,395,234,64.0,161
285,United Arab Emirates,478,317,72.0,161
219,Republic of Ireland,482,324,24.0,158
154,Libya,312,155,55.0,157
289,Uzbekistan,233,81,22.0,152
136,Jamaica,459,307,71.0,152
267,Tahiti,279,127,61.0,152
263,Syria,292,144,67.0,148
187,New Zealand,334,196,31.0,138
252,South Africa,297,165,34.0,132
209,Paraguay,414,283,69.0,131
103,German DR,254,125,4.0,129
200,Oman,383,256,67.0,127
139,Jordan,289,165,49.0,124
307,Zimbabwe,293,170,24.0,123
90,Ethiopia,336,213,48.0,123
161,Malawi,453,337,66.0,116
114,Guatemala,383,270,88.0,113
59,Colombia,369,258,102.0,111
70,Curaçao,285,178,77.0,107
262,Switzerland,681,575,19.0,106
284,Ukraine,199,95,12.0,104
240,Serbia,187,87,39.0,100
8,Angola,241,143,48.0,98
99,Gabon,245,150,32.0,95
247,Slovakia,225,130,8.0,95
249,Solomon Islands,219,125,37.0,94
83,El Salvador,441,349,133.0,92
278,Turkey,407,315,26.0,92
198,Norway,643,553,12.0,90
138,Jersey,129,40,26.0,89
293,Vietnam,229,144,30.0,85
230,Saint Kitts and Nevis,205,122,12.0,83
68,Cuba,233,151,71.0,82
20,Bahrain,394,315,113.0,79
112,Guadeloupe,234,156,51.0,78
133,Israel,385,307,22.0,78
40,Burkina Faso,280,204,49.0,76
61,Congo,288,214,46.0,74
211,Peru,402,332,47.0,70
109,Greece,413,343,31.0,70
274,Togo,210,141,17.0,69
206,Panama,275,210,42.0,65
268,Tajikistan,121,60,20.0,61
115,Guernsey,103,43,22.0,60
259,Sudan,239,181,52.0,58
111,Grenada,218,160,32.0,58
195,Northern Cyprus,70,13,10.0,57
243,Sierra Leone,140,84,9.0,56
279,Turkmenistan,107,55,21.0,52
33,Bosnia and Herzegovina,168,116,19.0,52
202,Padania,66,18,24.0,48
24,Basque Country,83,35,0.0,48
131,Isle of Man,75,28,18.0,47
81,Ecuador,353,306,70.0,47
123,Hong Kong,409,363,105.0,46
233,Saint Vincent and the Grenadines,106,62,13.0,44
265,Sápmi,69,27,9.0,42
205,Palestine,136,94,54.0,42
270,Tanzania,358,317,72.0,41
102,Georgia,154,113,14.0,41
181,Mozambique,191,151,20.0,40
294,Vietnam Republic,95,59,9.0,36
79,Dominican Republic,110,75,13.0,35
302,Ynys Môn,61,28,23.0,33
225,Rwanda,155,123,38.0,32
132,Isle of Wight,61,30,17.0,31
110,Greenland,75,45,28.0,30
47,Cape Verde,110,82,35.0,28
208,Papua New Guinea,108,82,32.0,26
172,Menorca,32,7,11.0,25
0,Abkhazia,36,11,12.0,25
29,Bermuda,144,119,9.0,25
10,Antigua and Barbuda,162,137,31.0,25
107,Gotland,67,42,11.0,25
42,Burundi,93,70,36.0,23
183,Namibia,134,111,18.0,23
151,Lebanon,193,170,20.0,23
97,French Guiana,118,95,20.0,23
163,Maldives,150,128,29.0,22
159,Madagascar,171,149,33.0,22
170,Mauritius,177,156,23.0,21
153,Liberia,149,129,20.0,20
295,Wales,463,446,13.0,17
45,Canada,212,196,52.0,16
248,Slovenia,163,148,11.0,15
130,Iraqi Kurdistan,26,11,9.0,15
303,Yorkshire,19,7,0.0,12
58,Chinese Taipei,31,20,3.0,11
178,Montenegro,70,59,1.0,11
25,Belarus,149,138,20.0,11
246,Sint Maarten,25,15,5.0,10
6,Andalusia,23,13,0.0,10
231,Saint Lucia,160,150,21.0,10
49,Catalonia,65,56,0.0,9
23,Barbados,214,205,28.0,9
194,North Vietnam,18,9,1.0,9
221,Rhodes,21,12,8.0,9
264,Székely Land,25,17,6.0,8
46,Canary Islands,11,3,0.0,8
210,Parishes of Jersey,11,3,0.0,8
148,Kárpátalja,17,9,5.0,8
245,Singapore,490,482,58.0,8
207,Panjab,12,5,4.0,7
84,Ellan Vannin,18,11,8.0,7
48,Cascadia,10,3,1.0,7
242,Shetland,38,31,17.0,7
244,Silesia,24,17,0.0,7
176,Monaco,8,2,4.0,6
193,North Macedonia,151,145,9.0,6
308,Åland Islands,47,41,18.0,6
220,Republic of St. Pauli,10,5,0.0,5
177,Mongolia,43,39,12.0,4
55,Chameria,4,0,1.0,4
86,Equatorial Guinea,69,65,6.0,4
290,Vanuatu,118,114,24.0,4
63,Corsica,8,5,0.0,3
100,Galicia,14,11,0.0,3
14,Artsakh,12,9,1.0,3
299,Western Sahara,10,7,3.0,3
296,Wallis Islands and Futuna,8,6,3.0,2
141,Kazakhstan,120,118,16.0,2
286,United Koreans in Japan,9,7,8.0,2
11,Arameans Suryoye,6,4,3.0,2
65,County of Nice,7,5,4.0,2
37,Brittany,13,11,0.0,2
251,Somaliland,7,5,2.0,2
143,Kernow,17,16,0.0,1
168,Matabeleland,1,0,2.0,1
145,Kosovo,35,34,9.0,1
52,Central Spain,1,0,0.0,1
126,India,340,340,108.0,0
171,Mayotte,15,15,4.0,0
101,Gambia,130,130,32.0,0
255,South Sudan,19,20,9.0,-1
298,Western Isles,27,28,11.0,-1
301,Yemen DPR,3,4,0.0,-1
19,Bahamas,25,26,3.0,-1
199,Occitania,18,19,7.0,-1
160,Madrid,1,2,0.0,-1
69,Curacao,0,1,1.0,-1
222,Romani people,1,3,1.0,-2
182,Myanmar,4,6,0.0,-2
93,Felvidék,2,4,2.0,-2
291,Vatican City,0,2,0.0,-2
140,Kabylia,0,2,1.0,-2
297,Western Armenia,7,10,5.0,-3
118,Guyana,194,198,23.0,-4
66,Crimea,0,5,1.0,-5
229,Saint Helena,1,6,1.0,-5
189,Niger,110,115,11.0,-5
218,Raetia,1,6,2.0,-5
269,Tamil Eelam,18,23,7.0,-5
108,Gozo,3,8,0.0,-5
273,Timor-Leste,5,11,3.0,-6
98,Frøya,29,35,12.0,-6
119,Găgăuzia,2,9,3.0,-7
2,Albania,189,196,20.0,-7
117,Guinea-Bissau,87,95,30.0,-8
51,Central African Republic,69,77,27.0,-8
212,Philippines,158,166,36.0,-8
166,Manchukuo,0,9,0.0,-9
254,South Ossetia,7,16,7.0,-9
34,Botswana,146,156,22.0,-10
1,Afghanistan,49,59,31.0,-10
53,Chad,66,76,25.0,-10
27,Belize,37,47,10.0,-10
147,Kyrgyzstan,73,84,28.0,-11
272,Tibet,2,13,4.0,-11
174,Micronesia,7,18,1.0,-11
87,Eritrea,15,26,9.0,-11
125,Iceland,277,289,19.0,-12
32,Bonaire,5,17,4.0,-12
232,Saint Martin,19,31,5.0,-12
280,Turks and Caicos Islands,4,16,3.0,-12
228,Saarland,5,18,0.0,-13
60,Comoros,16,29,11.0,-13
266,São Tomé and Príncipe,17,31,2.0,-14
150,Latvia,251,265,31.0,-14
227,Saare County,22,37,15.0,-15
258,St. Pierre & Miquelon,1,16,1.0,-15
201,Orkney,15,30,12.0,-15
226,Réunion,64,80,8.0,-16
204,Palau,4,21,1.0,-17
215,Provence,12,29,8.0,-17
121,Hitra,12,30,8.0,-18
106,Gibraltar,84,102,34.0,-18
281,Tuvalu,16,35,11.0,-19
236,Sark,0,20,1.0,-20
54,Chagos Islands,7,28,5.0,-21
3,Alderney,5,27,7.0,-22
15,Aruba,86,109,12.0,-23
300,Yemen,122,145,52.0,-23
216,Puerto Rico,75,100,7.0,-25
22,Barawa,16,41,0.0,-25
197,Northern Mariana Islands,11,38,7.0,-27
28,Benin,154,181,23.0,-27
9,Anguilla,12,40,6.0,-28
179,Montserrat,15,43,6.0,-28
18,Azerbaijan,104,133,31.0,-29
169,Mauritania,68,97,17.0,-29
36,British Virgin Islands,46,76,9.0,-30
91,Falkland Islands,14,45,11.0,-31
188,Nicaragua,54,85,18.0,-31
234,Samoa,54,86,8.0,-32
191,Niue,0,33,2.0,-33
275,Tonga,33,66,15.0,-33
13,Armenia,113,148,17.0,-35
80,East Timor,14,50,11.0,-36
156,Lithuania,172,209,17.0,-37
306,Zanzibar,63,100,29.0,-37
175,Moldova,93,131,16.0,-38
152,Lesotho,111,152,30.0,-41
184,Nepal,95,137,37.0,-42
241,Seychelles,41,86,11.0,-45
257,Sri Lanka,122,169,43.0,-47
89,Eswatini,103,151,13.0,-48
30,Bhutan,27,79,13.0,-52
50,Cayman Islands,60,113,12.0,-53
292,Venezuela,200,253,14.0,-53
78,Dominica,123,178,44.0,-55
38,Brunei,22,78,16.0,-56
282,U.S. Virgin Islands,10,67,3.0,-57
31,Bolivia,321,381,76.0,-60
43,Cambodia,176,236,65.0,-60
144,Kiribati,5,68,5.0,-63
62,Cook Islands,22,88,13.0,-66
149,Laos,104,172,36.0,-68
75,Darfur,0,69,4.0,-69
88,Estonia,270,340,33.0,-70
203,Pakistan,94,165,36.0,-71
250,Somalia,25,106,35.0,-81
21,Bangladesh,117,201,60.0,-84
77,Djibouti,27,120,15.0,-93
158,Macau,64,169,25.0,-105
71,Cyprus,223,338,1.0,-115
113,Guam,67,183,24.0,-116
5,American Samoa,24,140,24.0,-116
92,Faroe Islands,120,238,17.0,-118
196,Northern Ireland,399,524,12.0,-125
7,Andorra,26,176,19.0,-150
95,Finland,474,633,23.0,-159
155,Liechtenstein,46,230,4.0,-184
165,Malta,170,388,6.0,-218
235,San Marino,14,272,2.0,-258
157,Luxembourg,153,523,3.0,-370
